PowerDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-16,,,,,,,,,,,,,,,
-15,100.0,,,,,,,,,,,,,,
-14,100.0,,,,,,,,,,,,,,
-13,100.0,100.0,100.0,100.0,,,100.0,,,,,,,,
-12,,,,100.0,,,,,,100.0,,,100.0,,
-11,100.0,,,,,,,,,,,,,,
-10,100.0,,,100.0,,,100.0,,,100.0,,,100.0,100.0,100.0
-9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,,
-8,,,,,,,100.0,,,,,,100.0,,
-7,100.0,,,90.0,,,100.0,,,100.0,,,100.0,,
-6,100.0,,,70.0,65.0,95.0,100.0,95.0,100.0,90.0,90.0,100.0,100.0,100.0,100.0
-5,100.0,,,100.0,,,,,,100.0,,,100.0,,
-4,100.0,100.0,100.0,,,,60.0,50.0,75.0,65.0,,,100.0,,
-3,95.0,95.0,100.0,30.0,25.0,40.0,,,,45.0,,,100.0,,
-2,95.0,65.0,100.0,25.0,10.0,35.0,50.0,40.0,65.0,50.0,50.0,70.0,100.0,100.0,100.0
-1,77.5,55.0,90.0,35.0,,,50.0,50.0,55.0,47.5,,,75.0,,
0,30.0,20.0,40.0,35.0,20.0,55.0,40.0,20.0,65.0,40.0,5.0,55.0,35.0,0.0,80.0
1,65.0,55.0,85.0,25.0,15.0,30.0,80.0,40.0,80.0,37.5,25.0,60.0,95.0,40.0,100.0
2,100.0,95.0,100.0,45.0,40.0,50.0,70.0,60.0,70.0,50.0,45.0,65.0,90.0,80.0,90.0
3,100.0,100.0,100.0,55.0,45.0,65.0,75.0,40.0,90.0,80.0,65.0,85.0,100.0,90.0,100.0
4,100.0,100.0,100.0,85.0,75.0,100.0,90.0,80.0,95.0,75.0,75.0,80.0,100.0,100.0,100.0
5,100.0,100.0,100.0,100.0,100.0,100.0,90.0,85.0,100.0,97.5,85.0,100.0,100.0,100.0,100.0
6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,100.0,,,100.0,100.0,100.0,100.0,,,100.0,,,100.0,,
13,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14,100.0,,,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,100.0,,
16,100.0,,,100.0,,,100.0,,,100.0,,,,,
