PowerDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-16,,,,,,,,,,,,,,,
-15,100.0,,,,,,,,,,,,,,
-14,100.0,,,,,,,,,,,,,,
-13,100.0,100.0,100.0,100.0,,,100.0,,,,,,,,
-12,,,,100.0,,,,,,100.0,,,100.0,,
-11,100.0,,,,,,,,,,,,,,
-10,100.0,,,100.0,,,100.0,,,100.0,,,100.0,100.0,100.0
-9,100.0,100.0,100.0,95.0,85.0,100.0,100.0,,,100.0,100.0,100.0,100.0,,
-8,,,,,,,100.0,,,,,,100.0,,
-7,100.0,,,45.0,,,95.0,,,85.0,,,100.0,,
-6,100.0,,,65.0,40.0,70.0,95.0,85.0,100.0,82.5,75.0,100.0,100.0,100.0,100.0
-5,100.0,,,75.0,,,,,,92.5,,,100.0,,
-4,100.0,100.0,100.0,,,,30.0,30.0,35.0,50.0,,,100.0,,
-3,90.0,90.0,100.0,0.0,0.0,5.0,,,,45.0,,,100.0,,
-2,90.0,75.0,100.0,2.5,0.0,5.0,35.0,10.0,60.0,45.0,20.0,55.0,100.0,95.0,100.0
-1,70.0,45.0,90.0,5.0,,,50.0,50.0,60.0,35.0,,,57.5,,
0,37.5,20.0,60.0,5.0,0.0,10.0,20.0,15.0,40.0,40.0,20.0,50.0,50.0,0.0,80.0
1,75.0,70.0,75.0,0.0,0.0,5.0,55.0,45.0,80.0,32.5,20.0,50.0,90.0,75.0,100.0
2,100.0,95.0,100.0,10.0,0.0,15.0,45.0,45.0,60.0,47.5,40.0,65.0,100.0,85.0,100.0
3,100.0,100.0,100.0,10.0,5.0,20.0,72.5,40.0,80.0,75.0,15.0,80.0,100.0,100.0,100.0
4,100.0,100.0,100.0,30.0,25.0,45.0,57.5,50.0,70.0,70.0,60.0,75.0,100.0,100.0,100.0
5,100.0,100.0,100.0,75.0,65.0,75.0,80.0,65.0,90.0,70.0,65.0,95.0,100.0,100.0,100.0
6,100.0,100.0,100.0,95.0,85.0,100.0,95.0,90.0,100.0,90.0,85.0,95.0,100.0,100.0,100.0
7,100.0,100.0,100.0,100.0,95.0,100.0,100.0,75.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0
8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
12,100.0,,,100.0,100.0,100.0,100.0,,,100.0,,,100.0,,
13,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14,100.0,,,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,100.0,,
16,100.0,,,100.0,,,100.0,,,100.0,,,,,
