TimeDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-140,,,,100.0,100.0,100.0,95.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-120,,,,100.0,95.0,100.0,100.0,80.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
-100,,,,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-90,,,,100.0,90.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-80,,,,100.0,100.0,100.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-70,,,,100.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-60,,,,100.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-50,,,,100.0,95.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-40,,,,97.5,95.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-30,,,,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-20,,,,95.0,90.0,95.0,100.0,95.0,100.0,97.5,95.0,100.0,100.0,100.0,100.0
-10,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
10,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
20,,,,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
30,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40,,,,97.5,95.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
50,,,,100.0,95.0,100.0,95.0,85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
60,,,,100.0,95.0,100.0,90.0,75.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0
70,,,,100.0,100.0,100.0,90.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
80,,,,90.0,65.0,100.0,95.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
90,,,,100.0,95.0,100.0,95.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100,,,,100.0,100.0,100.0,90.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
120,,,,100.0,100.0,100.0,95.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
140,,,,100.0,100.0,100.0,95.0,85.0,100.0,97.5,95.0,100.0,100.0,100.0,100.0
