PowerDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-16,,,,,,,,,,,,,,,
-15,,,,100.0,,,,,,,,,,,
-14,,,,,,,100.0,,,100.0,,,100.0,,
-13,100.0,,,100.0,,,,,,100.0,,,100.0,,
-12,100.0,,,,,,,,,,,,,,
-11,100.0,,,100.0,,,100.0,,,95.0,,,100.0,,
-10,100.0,,,100.0,,,100.0,,,95.0,,,100.0,,
-9,100.0,,,,,,,,,,,,,,
-8,100.0,100.0,100.0,,,,,,,,,,,,
-7,,,,70.0,,,75.0,,,60.0,,,100.0,,
-6,100.0,100.0,100.0,55.0,,,50.0,,,30.0,0.0,65.0,100.0,,
-5,100.0,,,25.0,0.0,50.0,25.0,,,5.0,,,97.5,,
-4,100.0,,,0.0,,,10.0,,,2.5,,,80.0,,
-3,100.0,,,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,5.0,45.0,20.0,50.0
-2,100.0,,,0.0,,,10.0,0.0,25.0,0.0,0.0,0.0,60.0,,
-1,100.0,,,0.0,,,0.0,,,0.0,,,25.0,0.0,40.0
0,50.0,35.0,65.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,60.0
1,30.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,80.0,30.0,95.0
2,35.0,,,0.0,0.0,0.0,0.0,,,27.5,,,100.0,95.0,100.0
3,60.0,,,0.0,,,50.0,,,82.5,,,100.0,,
4,95.0,,,0.0,,,40.0,,,100.0,,,100.0,,
5,,,,15.0,,,70.0,60.0,75.0,85.0,,,100.0,,
6,100.0,,,10.0,,,,,,,,,100.0,,
7,,,,,,,,,,,,,,,
8,100.0,,,,,,100.0,,,,,,100.0,,
9,100.0,,,97.5,,,,,,100.0,,,,,
10,,,,,,,100.0,,,,,,100.0,,
11,,,,,,,100.0,,,,,,100.0,,
12,,,,100.0,,,,,,100.0,,,,,
13,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,100.0,,,,,
16,,,,100.0,,,100.0,,,,,,100.0,,
