PowerDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
-15,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
-9,100.0,100.0,100.0,82.5,,,95.0,80.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
-8,100.0,100.0,100.0,92.5,75.0,100.0,85.0,55.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0
-7,100.0,100.0,100.0,65.0,60.0,75.0,75.0,35.0,90.0,97.5,90.0,100.0,100.0,100.0,100.0
-6,100.0,100.0,100.0,40.0,20.0,55.0,50.0,25.0,75.0,82.5,65.0,90.0,100.0,100.0,100.0
-5,100.0,100.0,100.0,5.0,0.0,25.0,10.0,0.0,20.0,70.0,,,100.0,95.0,100.0
-4,100.0,,,0.0,0.0,5.0,0.0,0.0,0.0,30.0,10.0,40.0,100.0,100.0,100.0
-3,100.0,85.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,80.0,65.0,95.0
-2,75.0,45.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,25.0,85.0
-1,50.0,35.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
0,30.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0
1,60.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,70.0
2,85.0,80.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,65.0,90.0
3,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,25.0,100.0,100.0,100.0
4,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,42.5,15.0,45.0,100.0,100.0,100.0
5,100.0,100.0,100.0,5.0,0.0,10.0,0.0,0.0,5.0,35.0,30.0,50.0,100.0,100.0,100.0
6,100.0,100.0,100.0,55.0,40.0,60.0,15.0,0.0,20.0,62.5,55.0,75.0,100.0,100.0,100.0
7,100.0,100.0,100.0,67.5,,,25.0,15.0,80.0,82.5,55.0,85.0,100.0,100.0,100.0
8,100.0,,,87.5,85.0,95.0,45.0,25.0,100.0,97.5,90.0,100.0,100.0,100.0,100.0
9,100.0,100.0,100.0,90.0,75.0,100.0,55.0,35.0,80.0,82.5,70.0,100.0,100.0,100.0,100.0
10,100.0,100.0,100.0,100.0,100.0,100.0,80.0,,,97.5,,,100.0,,
11,100.0,100.0,100.0,100.0,100.0,100.0,97.5,,,100.0,95.0,100.0,100.0,,
12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100.0,100.0,100.0
13,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,,
15,100.0,,,100.0,,,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
16,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0
