Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-76.0
0,0,-4,-73.0
0,0,0,-69.0
0,0,2,-64.0
0,0,3,-63.0
0,0,4,-62.0
0,0,5,-62.0
0,0,6,-61.0
0,0,7,-61.0
0,0,8,-60.0
0,1,-8,-76.0
0,1,-4,-72.0
0,1,0,-68.0
0,1,2,-63.0
0,1,3,-62.0
0,1,4,-61.0
0,1,5,-61.0
0,1,6,-60.0
0,1,7,-60.0
0,1,8,-59.0
1,0,-8,-75.0
1,0,-4,-72.0
1,0,0,-69.0
1,0,2,-65.0
1,0,3,-64.0
1,0,4,-63.0
1,0,5,-63.0
1,0,6,-62.0
1,0,7,-61.0
1,0,8,-60.0
1,1,-8,-71.0
1,1,-4,-68.0
1,1,0,-64.0
1,1,2,-61.0
1,1,3,-60.0
1,1,4,-59.0
1,1,5,-58.0
1,1,6,-57.0
1,1,7,-57.0
1,1,8,-56.0
2,0,-8,-76.0
2,0,-4,-73.0
2,0,0,-70.0
2,0,2,-65.0
2,0,3,-64.0
2,0,4,-63.0
2,0,5,-63.0
2,0,6,-62.0
2,0,7,-62.0
2,0,8,-62.0
2,1,-8,-72.0
2,1,-4,-68.0
2,1,0,-65.0
2,1,2,-61.0
2,1,3,-60.0
2,1,4,-60.0
2,1,5,-61.0
2,1,6,-58.0
2,1,7,-57.0
2,1,8,-57.0
3,0,-8,-75.0
3,0,-4,-72.0
3,0,0,-69.0
3,0,2,-65.0
3,0,3,-64.0
3,0,4,-63.0
3,0,5,-63.0
3,0,6,-62.0
3,0,7,-61.0
3,0,8,-60.0
3,1,-8,-71.0
3,1,-4,-68.0
3,1,0,-64.0
3,1,2,-61.0
3,1,3,-60.0
3,1,4,-59.0
3,1,5,-58.0
3,1,6,-57.0
3,1,7,-56.5
3,1,8,-56.0
4,0,-8,-75.0
4,0,-4,-72.0
4,0,0,-68.0
4,0,2,-64.0
4,0,3,-63.0
4,0,4,-62.0
4,0,5,-62.0
4,0,6,-61.0
4,0,7,-60.0
4,0,8,-60.0
4,1,-8,-70.0
4,1,-4,-67.0
4,1,0,-63.0
4,1,2,-60.0
4,1,3,-59.0
4,1,4,-58.0
4,1,5,-57.0
4,1,6,-56.0
4,1,7,-56.0
4,1,8,-55.0
