Mode,Transmitter,TxPower,medianRSSI
0,0,-8,-81.0
0,0,-4,-77.0
0,0,0,-73.0
0,0,2,-68.0
0,0,3,-67.0
0,0,4,-66.0
0,0,5,-66.0
0,0,6,-65.0
0,0,7,-64.0
0,0,8,-64.0
0,1,-8,-78.0
0,1,-4,-74.0
0,1,0,-70.0
0,1,2,-65.0
0,1,3,-64.0
0,1,4,-63.0
0,1,5,-62.0
0,1,6,-62.0
0,1,7,-61.0
0,1,8,-61.0
1,0,-8,-80.0
1,0,-4,-77.0
1,0,0,-74.0
1,0,2,-70.0
1,0,3,-69.0
1,0,4,-68.0
1,0,5,-67.0
1,0,6,-66.0
1,0,7,-66.0
1,0,8,-65.0
1,1,-8,-72.0
1,1,-4,-69.0
1,1,0,-65.0
1,1,2,-62.5
1,1,3,-61.0
1,1,4,-60.0
1,1,5,-59.0
1,1,6,-58.0
1,1,7,-57.0
1,1,8,-57.0
2,0,-8,-81.0
2,0,-4,-78.0
2,0,0,-74.0
2,0,2,-70.0
2,0,3,-69.0
2,0,4,-68.0
2,0,5,-68.0
2,0,6,-67.0
2,0,7,-66.0
2,0,8,-66.0
2,1,-8,-72.0
2,1,-4,-69.0
2,1,0,-66.0
2,1,2,-62.0
2,1,3,-61.0
2,1,4,-60.0
2,1,5,-60.0
2,1,6,-59.0
2,1,7,-58.0
2,1,8,-57.0
3,0,-8,-80.0
3,0,-4,-77.0
3,0,0,-74.0
3,0,2,-70.0
3,0,3,-69.0
3,0,4,-68.0
3,0,5,-67.0
3,0,6,-66.0
3,0,7,-66.0
3,0,8,-65.0
3,1,-8,-72.0
3,1,-4,-69.0
3,1,0,-65.0
3,1,2,-61.0
3,1,3,-61.0
3,1,4,-60.0
3,1,5,-59.0
3,1,6,-58.0
3,1,7,-57.0
3,1,8,-57.0
4,0,-8,-79.0
4,0,-4,-76.0
4,0,0,-73.0
4,0,2,-69.0
4,0,3,-68.0
4,0,4,-67.0
4,0,5,-67.0
4,0,6,-66.0
4,0,7,-65.0
4,0,8,-64.0
4,1,-8,-71.0
4,1,-4,-68.0
4,1,0,-64.0
4,1,2,-60.0
4,1,3,-60.0
4,1,4,-59.0
4,1,5,-59.0
4,1,6,-57.0
4,1,7,-57.0
4,1,8,-56.0
